sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
IP_Home,344,536,518,710,301,4485,0.0,0.32912896593228175,8.442930306522877
IP_StoreFinder,342,346,284,499,163,5773,0.0,0.3281516713186804,29.95740336287098
IP_GoToStore,341,3535,465,9938,77,18027,0.017595307917888565,0.3261023406688827,11.417295103013913
IP_StoreCity,304,807,697,1010,145,13936,0.0,0.2948936830668943,5.6511639327564795
IP_StoreLocation,303,894,858,1137,60,12274,0.013201320132013201,0.2965352353344732,7.171049687940704
TOTAL,1634,1239,533,1288,60,18027,0.006119951040391677,1.5551951512936484,61.99649690715799
