sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
JDBC_GetBPP,1089,179,149,298,101,736,0.0,1.1594752230046699,0.04597512405266935
IP_Home,1087,569,542,800,295,7964,0.0,1.1577908030722464,29.672918190017224
IP_HitBPP,1082,981,863,1300,70,23157,0.013863216266173753,1.1582164323294386,27.40463547492761
TOTAL,3258,575,494,1002,70,23157,0.004604051565377533,3.46025538766437,56.82453176062797
