sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
JDBC_GetBPP,3905,593,271,1603,101,5765,0.0,2.776105163555604,0.10969056091364784
IP_Home,3900,6055,5414,11588,287,62346,0.04923076923076923,2.765296521327881,67.34093351890364
IP_HitBPP,3879,8951,8491,16737,54,32185,0.0791441093065223,2.7571177564354072,61.18663580190972
TOTAL,11684,5191,3310,13336,54,62346,0.042707976720301265,8.270734172770851,128.2738408024803
