sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
JDBC_GetBPP,2251,243,185,454,100,1237,0.0,2.1479868468011123,0.08491961271348661
IP_Home,2246,1890,1362,3909,283,60683,8.904719501335708E-4,2.148351001910177,55.0119789952896
IP_HitBPP,2238,2002,1476,3849,112,60688,0.008936550491510277,2.1433537836227847,50.79623010987083
TOTAL,6735,1377,887,3278,100,60688,0.0032665181885671865,6.420559518157742,105.47517927339001
