sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
JDBC_GetBPP,1040,169,142,262,100,712,0.0,1.1495561497385312,0.045524133356250766
IP_Home,1035,672,550,809,302,24101,0.002898550724637681,1.1454056506678767,29.27067475355795
IP_HitBPP,1033,1118,873,1209,96,60768,0.008712487899322363,1.1481209383693571,26.964609986554315
TOTAL,3108,652,536,1012,96,60768,0.003861003861003861,3.431588500866178,56.035317834599205
