sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
IP_Home,11810,5247,4258,11051,289,27515,0.05410668924640136,2.2331237487132594,54.1068722034545
IP_StoreFinder,11790,4756,3765,10488,155,24527,0.04283290924512299,2.230728042275986,194.29633654152246
IP_GoToStore,11768,4730,3712,10407,31,27067,0.12015635622025833,2.227147045074746,72.41206529570307
IP_StoreCity,9585,4662,3536,10305,126,24023,0.047678664580073034,1.8151332688457609,32.895477346495305
IP_StoreLocation,9103,4594,3594,10051,51,25032,0.04624848950895309,1.724491665209541,40.57035534500063
TOTAL,54056,4814,3780,10494,31,27515,0.06356371170637858,10.220855643082336,393.953364312001
