elapsed,success,bytes,URL
239,true,35,null
137,true,40,null
153,true,34,null
126,true,28,null
972,true,26244,http://ec2.insiderpages.com/
913,true,26244,http://ec2.insiderpages.com/
166,true,34,null
351,true,26244,http://ec2.insiderpages.com/
490,true,26244,http://ec2.insiderpages.com/
362,true,26244,http://ec2.insiderpages.com/
14629,true,23316,http://ec2.insiderpages.com/b/3709442657/first-baptist-church-decatur-1
162,true,34,null
156,true,35,null
141,true,44,null
156,true,42,null
139,true,39,null
615,true,26244,http://ec2.insiderpages.com/
755,true,26244,http://ec2.insiderpages.com/
441,true,26244,http://ec2.insiderpages.com/
642,true,26244,http://ec2.insiderpages.com/
128,true,38,null
154,true,47,null
1469,true,23166,http://ec2.insiderpages.com/b/3710430362/riverside-stone-riverside
165,true,41,null
2050,true,25572,http://ec2.insiderpages.com/b/3709796197/scottsdale-resort-club-scottsdale
1662,true,23241,http://ec2.insiderpages.com/b/2546757340/margaret-ready-crs-gri-pasadena
1374,true,22224,http://ec2.insiderpages.com/b/3709741553/jehovahs-witnesses-forrest-city
458,true,26244,http://ec2.insiderpages.com/
573,true,26244,http://ec2.insiderpages.com/
274,true,40,null
333,true,36,null
132,true,26,null
127,true,34,null
175,true,43,null
350,true,26244,http://ec2.insiderpages.com/
156,true,40,null
578,true,26244,http://ec2.insiderpages.com/
689,true,26244,http://ec2.insiderpages.com/
1272,true,21278,http://ec2.insiderpages.com/b/3710074153/berkeley-touchless-car-wash-berkeley
694,true,26244,http://ec2.insiderpages.com/
980,true,23172,http://ec2.insiderpages.com/b/3709500611/new-beacon-hospice-anniston
1116,true,26245,http://ec2.insiderpages.com/
1464,true,26245,http://ec2.insiderpages.com/
1039,true,26704,http://ec2.insiderpages.com/b/3709800963/body-works-studio-inc-tucson
349,true,26244,http://ec2.insiderpages.com/
903,true,23710,http://ec2.insiderpages.com/b/3710062261/inspired-fitness-llc-petaluma
150,true,31,null
1394,true,27280,http://ec2.insiderpages.com/b/3710177246/echigo-los-angeles
126,true,43,null
1027,true,23074,http://ec2.insiderpages.com/b/3709693390/comet-cleaners-conway-1
1119,true,23217,http://ec2.insiderpages.com/b/3709608886/r-l-stone-middle-school-huntsville
153,true,39,null
980,true,25892,http://ec2.insiderpages.com/b/3710302815/lindas-hallmark-redding
726,true,27827,http://ec2.insiderpages.com/b/3710083997/diablo-transmissions-concord
300,true,40,null
282,true,35,null
138,true,32,null
518,true,26244,http://ec2.insiderpages.com/
208,true,49,null
255,true,43,null
192,true,42,null
710,true,26244,http://ec2.insiderpages.com/
