sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
IP_Home,931,630,538,811,300,11456,0.0,0.7632949417567425,19.580312235080903
IP_StoreFinder,930,503,296,577,162,19027,0.0,0.7632328574207161,69.67662248917932
IP_GoToStore,924,481,279,609,74,18846,0.02813852813852814,0.7613755188106721,27.082702297794647
IP_StoreCity,838,728,555,1024,128,22263,0.0011933174224343676,0.6904671859177651,13.164462339361325
IP_StoreLocation,834,844,746,1248,52,16776,0.004796163069544364,0.690923551048812,16.889629344420005
TOTAL,4457,631,441,952,52,22263,0.006955351133049136,3.6502597441951696,145.7935313066386
