sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
JDBC_GetBPP,111,142,143,153,125,277,0.0,0.12368928360504118,0.00482181883141485
IP_Home,111,530,489,672,297,4074,0.0,0.12350321887218195,3.1652524180483823
IP_HitBPP,110,857,772,1153,117,3488,0.00909090909090909,0.1235719019962479,3.0927905624768304
TOTAL,332,508,455,880,117,4074,0.0030120481927710845,0.3685015528122662,6.2181807979473795
