sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
JDBC_GetBPP,2242,238,175,431,100,1116,0.0,2.13886397893572,0.08460398938199996
IP_Home,2234,2035,1819,4082,290,15519,4.476275738585497E-4,2.131372292732631,54.601602831438406
IP_HitBPP,2223,1923,1406,3859,83,24019,0.012595591542959963,2.131413175834396,50.566635088677046
TOTAL,6699,1397,940,3441,83,24019,0.004329004329004329,6.375688819940802,104.74716296748151
