sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
IP_Home,250,599,551,693,303,6414,0.0,0.3626399608929066,9.301727745964179
JDBC_GetLocation,250,27,21,30,20,167,0.0,0.3630359681515806,0.4878579443886983
IP_ChangeCity,250,865,641,1577,265,11194,0.0,0.36293003579941874,192.8534009107548
IP_GoToDrFinder,250,203,75,279,40,8530,0.0,0.3637416503104171,5.902781029981769
IP_DisplaySpecialties,250,468,332,585,245,9069,0.0,0.36360198672125543,188.53748713757972
IP_ChooseSpecialty,250,1386,1246,2059,171,9470,0.604,0.36354646850960487,9.04927088483575
IP_ChooseADoctor,88,1806,1759,2372,120,4511,0.0,0.14235082684801298,4.269712834504222
TOTAL,1588,659,391,1627,20,11194,0.095088161209068,2.2786953464678787,404.8621613189492
