sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
IP_Home,62,536,499,708,305,2391,0.0,0.0690201037750657,1.7705285148348695
IP_StoreFinder,62,262,213,430,171,479,0.0,0.06918785730785584,6.316245019450715
IP_GoToStore,62,4143,603,9068,84,15831,0.016129032258064516,0.06922826120939539,2.3911468464014702
IP_StoreCity,56,662,618,904,249,1372,0.0,0.06255829930794882,1.2234225411655952
IP_StoreLocation,55,772,794,965,85,1216,0.01818181818181818,0.06220438778441542,1.5347231784576025
TOTAL,297,1299,549,2391,84,15831,0.006734006734006734,0.3283327990094741,13.093652232552483
