elapsed,success,bytes,URL
2391,true,26269,http://ec2.insiderpages.com/
202,true,93482,http://ec2.insiderpages.com/store_finder
603,true,25272,http://ec2.insiderpages.com/store_finder/find/a_g_edwards
679,true,15972,http://ec2.insiderpages.com/store_finder/results/a_g_edwards/Boston/MA
88,true,23019,http://ec2.insiderpages.com/b/3715375870/c-g-edwards-boston
357,true,26268,http://ec2.insiderpages.com/
430,true,93483,http://ec2.insiderpages.com/store_finder
8919,true,36008,http://ec2.insiderpages.com/store_finder/find/fairfield_inn
614,true,16151,http://ec2.insiderpages.com/store_finder/results/fairfield_inn/Dallas/TX
438,true,23152,http://ec2.insiderpages.com/b/15245457130/fairfield-inn-irving-1
692,true,26268,http://ec2.insiderpages.com/
182,true,93482,http://ec2.insiderpages.com/store_finder
511,true,37929,http://ec2.insiderpages.com/store_finder/find/aaa_travel
495,true,15930,http://ec2.insiderpages.com/store_finder/results/aaa_travel/Denver/CO
836,true,23089,http://ec2.insiderpages.com/b/15248377557/aaa-travel-boulder
461,true,26268,http://ec2.insiderpages.com/
183,true,93482,http://ec2.insiderpages.com/store_finder
9252,true,28578,http://ec2.insiderpages.com/store_finder/find/little_caesars
989,true,15432,http://ec2.insiderpages.com/store_finder/results/little_caesars/LosAngeles/CA
865,true,25340,http://ec2.insiderpages.com/b/11868565094/little-ceasers-palmdale
492,true,26268,http://ec2.insiderpages.com/
238,true,93482,http://ec2.insiderpages.com/store_finder
6427,true,45270,http://ec2.insiderpages.com/store_finder/find/talbots
616,true,23037,http://ec2.insiderpages.com/store_finder/results/talbots/Philadelphia/PA
1018,true,23528,http://ec2.insiderpages.com/b/3718187653/talbots-cherry-hill
702,true,26268,http://ec2.insiderpages.com/
174,true,93482,http://ec2.insiderpages.com/store_finder
118,true,27645,http://ec2.insiderpages.com/store_finder/find/ritz_carlton
550,true,15324,http://ec2.insiderpages.com/store_finder/results/ritz_carlton/Atlanta/GA
866,true,28423,http://ec2.insiderpages.com/b/3729785094/ritzcarlton-atlanta
453,true,26268,http://ec2.insiderpages.com/
440,true,93483,http://ec2.insiderpages.com/store_finder
7833,true,39616,http://ec2.insiderpages.com/store_finder/find/thrifty_car_rental
811,true,22909,http://ec2.insiderpages.com/store_finder/results/thrifty_car_rental/Houston/TX
815,true,23220,http://ec2.insiderpages.com/b/15245466931/thrifty-car-rental-houston
313,true,26268,http://ec2.insiderpages.com/
479,true,93482,http://ec2.insiderpages.com/store_finder
8285,true,25109,http://ec2.insiderpages.com/store_finder/find/sylvan_learning_center
282,true,16366,http://ec2.insiderpages.com/store_finder/results/sylvan_learning_center/Seattle/WA
713,true,25516,http://ec2.insiderpages.com/b/15250585805/sylvan-learning-bellevue
708,true,26268,http://ec2.insiderpages.com/
235,true,93482,http://ec2.insiderpages.com/store_finder
7057,true,24336,http://ec2.insiderpages.com/store_finder/find/marie_callenders
315,true,26268,http://ec2.insiderpages.com/
436,true,93482,http://ec2.insiderpages.com/store_finder
111,true,29551,http://ec2.insiderpages.com/store_finder/find/greyhound
345,true,15147,http://ec2.insiderpages.com/store_finder/results/greyhound/Washington/DC
751,true,23156,http://ec2.insiderpages.com/b/15249735732/greyhound-washington-dc-1
650,true,26268,http://ec2.insiderpages.com/
190,true,93482,http://ec2.insiderpages.com/store_finder
8712,true,24284,http://ec2.insiderpages.com/store_finder/find/carls_jr_
691,true,26268,http://ec2.insiderpages.com/
175,true,93482,http://ec2.insiderpages.com/store_finder
207,true,30693,http://ec2.insiderpages.com/store_finder/find/kroger
736,true,15312,http://ec2.insiderpages.com/store_finder/results/kroger/Chicago/IL
85,true,26041,http://ec2.insiderpages.com/b/3714427524/kroger-food-stores-bourbonnais
307,true,26268,http://ec2.insiderpages.com/
185,true,93482,http://ec2.insiderpages.com/store_finder
7258,true,39494,http://ec2.insiderpages.com/store_finder/find/restoration_hardware
472,true,19933,http://ec2.insiderpages.com/store_finder/results/restoration_hardware/Boston/MA
957,true,25953,http://ec2.insiderpages.com/b/3715590447/restoration-hardware-newton-center
445,true,26268,http://ec2.insiderpages.com/
436,true,93483,http://ec2.insiderpages.com/store_finder
7512,true,32181,http://ec2.insiderpages.com/store_finder/find/mattress_firm
691,true,23575,http://ec2.insiderpages.com/store_finder/results/mattress_firm/LasVegas/NV
788,true,28467,http://ec2.insiderpages.com/b/3718446338/mattress-firm-las-vegas
