elapsed,responseMessage,bytes,URL
243,OK,95730,http://ec2.insiderpages.com/store_finder
526,OK,95902,http://ec2.insiderpages.com/store_finder
250,OK,95813,http://ec2.insiderpages.com/store_finder
1052,Internal Server Error,26281,http://ec2.insiderpages.com/b/15247349076/penske-truck-rental-dallas-30
203,OK,95755,http://ec2.insiderpages.com/store_finder
248,OK,95766,http://ec2.insiderpages.com/store_finder
1105,OK,95794,http://ec2.insiderpages.com/store_finder
344,OK,95786,http://ec2.insiderpages.com/store_finder
289,OK,95779,http://ec2.insiderpages.com/store_finder
292,OK,95801,http://ec2.insiderpages.com/store_finder
665,OK,95839,http://ec2.insiderpages.com/store_finder
194,OK,95777,http://ec2.insiderpages.com/store_finder
342,OK,95776,http://ec2.insiderpages.com/store_finder
393,Internal Server Error,26304,http://ec2.insiderpages.com/b/15250725169/doubletree-hotel-chicago--alsip-alsip
898,Internal Server Error,26317,http://ec2.insiderpages.com/b/15250593130/orkin-pest--termite-control-fairfax
528,OK,95804,http://ec2.insiderpages.com/store_finder
653,Internal Server Error,26284,http://ec2.insiderpages.com/b/15257511537/thrifty-car-rental-las-vegas-2
342,OK,95753,http://ec2.insiderpages.com/store_finder
289,OK,95756,http://ec2.insiderpages.com/store_finder
274,OK,95822,http://ec2.insiderpages.com/store_finder
781,Internal Server Error,26162,http://ec2.insiderpages.com/b/15240020456/terminix-bothell-1
525,OK,95816,http://ec2.insiderpages.com/store_finder
372,OK,95803,http://ec2.insiderpages.com/store_finder
611,OK,95743,http://ec2.insiderpages.com/store_finder
280,OK,95814,http://ec2.insiderpages.com/store_finder
723,OK,95791,http://ec2.insiderpages.com/store_finder
306,OK,95814,http://ec2.insiderpages.com/store_finder
273,OK,95773,http://ec2.insiderpages.com/store_finder
273,OK,95803,http://ec2.insiderpages.com/store_finder
674,OK,95797,http://ec2.insiderpages.com/store_finder
184,OK,95835,http://ec2.insiderpages.com/store_finder
441,OK,95852,http://ec2.insiderpages.com/store_finder
755,OK,95808,http://ec2.insiderpages.com/store_finder
330,OK,95797,http://ec2.insiderpages.com/store_finder
582,OK,95720,http://ec2.insiderpages.com/store_finder
537,OK,95729,http://ec2.insiderpages.com/store_finder
344,OK,95758,http://ec2.insiderpages.com/store_finder
554,OK,95762,http://ec2.insiderpages.com/store_finder
297,OK,95806,http://ec2.insiderpages.com/store_finder
1771,Internal Server Error,26186,http://ec2.insiderpages.com/b/3711612639/supercuts-pico-rivera
752,OK,95768,http://ec2.insiderpages.com/store_finder
1373,Internal Server Error,26291,http://ec2.insiderpages.com/b/15257354255/enterprise-rentacar-denver-12
1867,OK,95792,http://ec2.insiderpages.com/store_finder
1023,OK,95837,http://ec2.insiderpages.com/store_finder
1063,Internal Server Error,26158,http://ec2.insiderpages.com/b/15254776415/tmobile-seattle-1
280,OK,95768,http://ec2.insiderpages.com/store_finder
309,OK,95767,http://ec2.insiderpages.com/store_finder
1165,OK,95785,http://ec2.insiderpages.com/store_finder
2389,OK,95775,http://ec2.insiderpages.com/store_finder
734,OK,95819,http://ec2.insiderpages.com/store_finder
1665,OK,95733,http://ec2.insiderpages.com/store_finder
3968,OK,95799,http://ec2.insiderpages.com/store_finder
3720,Internal Server Error,26302,http://ec2.insiderpages.com/b/15240020342/candlewood-suites-somerset-somerset
299,OK,95789,http://ec2.insiderpages.com/store_finder
4992,OK,95779,http://ec2.insiderpages.com/store_finder
540,OK,95785,http://ec2.insiderpages.com/store_finder
1622,Internal Server Error,26274,http://ec2.insiderpages.com/b/15252247946/red-roof-inn-dallasrichardson-dallas
4134,Internal Server Error,42431,http://ec2.insiderpages.com/b/3710960571/banfield-pet-hospital-daly-city
3082,OK,95756,http://ec2.insiderpages.com/store_finder
499,OK,95779,http://ec2.insiderpages.com/store_finder
2686,OK,95760,http://ec2.insiderpages.com/store_finder
3388,Internal Server Error,26200,http://ec2.insiderpages.com/b/15257858590/tmobile-washington-dc-11
377,OK,95828,http://ec2.insiderpages.com/store_finder
302,OK,95768,http://ec2.insiderpages.com/store_finder
516,OK,95838,http://ec2.insiderpages.com/store_finder
277,OK,95729,http://ec2.insiderpages.com/store_finder
1992,OK,95786,http://ec2.insiderpages.com/store_finder
519,Internal Server Error,26182,http://ec2.insiderpages.com/b/3718492408/supercuts-las-vegas-3
4345,OK,95828,http://ec2.insiderpages.com/store_finder
513,OK,95783,http://ec2.insiderpages.com/store_finder
4051,OK,95821,http://ec2.insiderpages.com/store_finder
1900,OK,95786,http://ec2.insiderpages.com/store_finder
296,OK,95793,http://ec2.insiderpages.com/store_finder
2111,OK,95817,http://ec2.insiderpages.com/store_finder
