sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
IP_Home,5322,1786,1317,3926,302,12945,0.0,2.0253422759945563,51.93583150442363
IP_StoreFinder,5314,1578,1066,3697,159,9875,0.0,2.0242313520448394,184.75656064013745
IP_GoToStore,5302,1540,1016,3681,66,11856,0.03168615616748397,2.0210067297008325,72.15495415796309
IP_StoreCity,4793,1845,1391,4011,126,10368,0.0,1.828832984775242,34.691791305516986
IP_StoreLocation,4788,1836,1406,4149,56,12697,0.006474519632414369,1.8280028038539247,44.88407123842036
TOTAL,25519,1712,1241,3891,56,12945,0.007798111211254359,9.709033369261716,387.7949001566604
