sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
JDBC_GetBPP,106,140,141,151,113,286,0.0,0.11816588706908468,0.004713833017109529
IP_Home,106,485,433,646,295,1306,0.0,0.1180621764428089,3.0258044517237077
IP_HitBPP,105,1140,917,1852,101,10718,0.01904761904761905,0.11803097357567527,2.733551022611924
TOTAL,317,587,423,1104,101,10718,0.006309148264984227,0.3520047615028938,5.721633487742572
