sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
IP_Home,2523,1002,774,1909,305,11757,0.0,1.4430385828365917,37.01750497528017
IP_StoreFinder,2520,748,499,1591,152,10617,0.0,1.4426338372056413,131.7005754121453
IP_GoToStore,2513,938,512,1744,71,27505,0.02865101472343812,1.4356898909835476,50.594781348657264
IP_StoreCity,2242,1132,926,2129,123,12344,0.0,1.2874136651897585,24.386762673767826
IP_StoreLocation,2237,1261,1099,2367,56,12359,0.008046490835940992,1.2859152330656691,31.556637965246086
TOTAL,12035,1008,759,1995,56,27505,0.007478188616535106,6.857882005681186,273.91744055712815
