elapsed,success,bytes,URL
441,true,26268,http://ec2.insiderpages.com/
216,true,93482,http://ec2.insiderpages.com/store_finder
552,true,40744,http://ec2.insiderpages.com/store_finder/find/arbys
284,true,23787,http://ec2.insiderpages.com/store_finder/results/arbys/LosAngeles/CA
902,true,23374,http://ec2.insiderpages.com/b/3711005091/arbys-lakewood
629,true,26268,http://ec2.insiderpages.com/
4849,true,93482,http://ec2.insiderpages.com/store_finder
2727,true,29616,http://ec2.insiderpages.com/store_finder/find/orange_julius
635,true,19227,http://ec2.insiderpages.com/store_finder/results/orange_julius/Chicago/IL
625,true,23865,http://ec2.insiderpages.com/b/15249492315/orange-julius-chicago-1
321,true,26268,http://ec2.insiderpages.com/
484,true,93483,http://ec2.insiderpages.com/store_finder
196,true,36483,http://ec2.insiderpages.com/store_finder/find/howard_johnson
326,true,26268,http://ec2.insiderpages.com/
419,true,18098,http://ec2.insiderpages.com/store_finder/results/howard_johnson/SanFrancisco/CA
181,true,93482,http://ec2.insiderpages.com/store_finder
111,true,25569,http://ec2.insiderpages.com/b/3711152553/howard-johnson-san-bruno
296,true,28701,http://ec2.insiderpages.com/store_finder/find/wells_fargo
426,true,26268,http://ec2.insiderpages.com/
580,true,15881,http://ec2.insiderpages.com/store_finder/results/wells_fargo/Chicago/IL
178,true,93482,http://ec2.insiderpages.com/store_finder
607,true,23253,http://ec2.insiderpages.com/b/15245684748/wells-fargo-chicago
87,true,25619,http://ec2.insiderpages.com/store_finder/find/amerigas
424,true,26268,http://ec2.insiderpages.com/
616,true,15976,http://ec2.insiderpages.com/store_finder/results/amerigas/LosAngeles/CA
190,true,93482,http://ec2.insiderpages.com/store_finder
834,true,22696,http://ec2.insiderpages.com/b/15247342370/ameri-gas-topanga
174,true,35205,http://ec2.insiderpages.com/store_finder/find/vons
711,true,26268,http://ec2.insiderpages.com/
808,true,19375,http://ec2.insiderpages.com/store_finder/results/vons/Boston/MA
206,true,93482,http://ec2.insiderpages.com/store_finder
1092,true,23254,http://ec2.insiderpages.com/b/15250375630/fnhis-west-newton
566,true,26268,http://ec2.insiderpages.com/
170,true,93482,http://ec2.insiderpages.com/store_finder
98,true,26779,http://ec2.insiderpages.com/store_finder/find/dominos
991,true,16103,http://ec2.insiderpages.com/store_finder/results/dominos/NewYork/NY
11100,true,35032,http://ec2.insiderpages.com/store_finder/find/togos
708,true,22934,http://ec2.insiderpages.com/b/15254511953/damones-deer-park
472,true,26268,http://ec2.insiderpages.com/
814,true,18895,http://ec2.insiderpages.com/store_finder/results/togos/Houston/TX
409,true,26268,http://ec2.insiderpages.com/
437,true,93483,http://ec2.insiderpages.com/store_finder
707,true,23147,http://ec2.insiderpages.com/b/15248512258/dex-humble
264,true,93482,http://ec2.insiderpages.com/store_finder
454,true,50199,http://ec2.insiderpages.com/store_finder/find/the_childrens_place
405,true,26268,http://ec2.insiderpages.com/
96,true,24761,http://ec2.insiderpages.com/store_finder/find/macaroni_grill
267,true,93482,http://ec2.insiderpages.com/store_finder
152,true,15209,http://ec2.insiderpages.com/store_finder/results/macaroni_grill/Chicago/IL
1282,true,23645,http://ec2.insiderpages.com/store_finder/results/the_childrens_place/Dallas/TX
199,true,37622,http://ec2.insiderpages.com/store_finder/find/ticketmaster
73,true,23309,http://ec2.insiderpages.com/b/15248691846/macaroni-grill-amf-ohare
864,true,23262,http://ec2.insiderpages.com/b/15245375826/childrens-place-plano-1
490,true,15903,http://ec2.insiderpages.com/store_finder/results/ticketmaster/Houston/TX
322,true,26268,http://ec2.insiderpages.com/
670,true,26268,http://ec2.insiderpages.com/
797,true,23119,http://ec2.insiderpages.com/b/15250534052/ticketmaster-houston-1
180,true,93482,http://ec2.insiderpages.com/store_finder
168,true,93482,http://ec2.insiderpages.com/store_finder
555,true,26268,http://ec2.insiderpages.com/
486,true,45519,http://ec2.insiderpages.com/store_finder/find/costco
171,true,33769,http://ec2.insiderpages.com/store_finder/find/sign_a_rama
257,true,23715,http://ec2.insiderpages.com/store_finder/results/costco/SanDiego/CA
364,true,93483,http://ec2.insiderpages.com/store_finder
660,true,15318,http://ec2.insiderpages.com/store_finder/results/sign_a_rama/Seattle/WA
276,true,45789,http://ec2.insiderpages.com/store_finder/find/golds_gym
667,true,23091,http://ec2.insiderpages.com/b/3723199075/sun-room-arlington
2283,true,23190,http://ec2.insiderpages.com/b/15249810210/costco-san-diego-3
703,true,26268,http://ec2.insiderpages.com/
723,true,26268,http://ec2.insiderpages.com/
2541,true,23624,http://ec2.insiderpages.com/store_finder/results/golds_gym/Dallas/TX
415,true,93483,http://ec2.insiderpages.com/store_finder
259,true,93482,http://ec2.insiderpages.com/store_finder
1118,true,71107,http://ec2.insiderpages.com/b/3722149251/golds-gym-dallas-4
207,true,35771,http://ec2.insiderpages.com/store_finder/find/papa_murphys_take_n_bake_pizza
106,true,28853,http://ec2.insiderpages.com/store_finder/find/commerce_bank
525,true,26268,http://ec2.insiderpages.com/
191,true,17305,http://ec2.insiderpages.com/store_finder/results/papa_murphys_take_n_bake_pizza/Chicago/IL
862,true,20710,http://ec2.insiderpages.com/store_finder/results/commerce_bank/Washington/DC
216,true,93482,http://ec2.insiderpages.com/store_finder
73,true,25805,http://ec2.insiderpages.com/b/3714262418/papa-murphys-take-n-bake-pizza-hanover-park
938,true,22872,http://ec2.insiderpages.com/b/15244979977/commerce-bank-manassas-1
495,true,48720,http://ec2.insiderpages.com/store_finder/find/motherhood_maternity
350,true,26268,http://ec2.insiderpages.com/
277,true,93482,http://ec2.insiderpages.com/store_finder
551,true,26268,http://ec2.insiderpages.com/
770,true,23848,http://ec2.insiderpages.com/store_finder/results/motherhood_maternity/Boston/MA
453,true,26268,http://ec2.insiderpages.com/
372,true,29539,http://ec2.insiderpages.com/store_finder/find/amoco_food_shop
306,true,93482,http://ec2.insiderpages.com/store_finder
215,true,93482,http://ec2.insiderpages.com/store_finder
756,true,23265,http://ec2.insiderpages.com/b/3715613498/motherhood-maternity-boston
887,true,17663,http://ec2.insiderpages.com/store_finder/results/amoco_food_shop/Philadelphia/PA
83,true,25046,http://ec2.insiderpages.com/store_finder/find/isuzu
654,true,26268,http://ec2.insiderpages.com/
394,true,15089,http://ec2.insiderpages.com/store_finder/results/isuzu/Denver/CO
214,true,93482,http://ec2.insiderpages.com/store_finder
998,true,23726,http://ec2.insiderpages.com/b/3720470553/amoco-food-shop-fairless-hills
66,true,23200,http://ec2.insiderpages.com/b/15254045974/osius-jr-timothy-l-od-loveland
280,true,43400,http://ec2.insiderpages.com/store_finder/find/sephora
362,true,26268,http://ec2.insiderpages.com/
675,true,26268,http://ec2.insiderpages.com/
7836,true,27056,http://ec2.insiderpages.com/store_finder/find/giant_eagle
798,true,23061,http://ec2.insiderpages.com/store_finder/results/sephora/Washington/DC
192,true,93482,http://ec2.insiderpages.com/store_finder
567,true,17014,http://ec2.insiderpages.com/store_finder/results/giant_eagle/Washington/DC
917,true,23059,http://ec2.insiderpages.com/b/3722827741/sephora-mc-lean
852,true,34684,http://ec2.insiderpages.com/b/3715646113/giant-eagle-frederick-2
336,true,26268,http://ec2.insiderpages.com/
5726,true,93482,http://ec2.insiderpages.com/store_finder
194,true,93482,http://ec2.insiderpages.com/store_finder
111,true,26866,http://ec2.insiderpages.com/store_finder/find/marshall_fields
9917,true,45186,http://ec2.insiderpages.com/store_finder/find/toys_r_us
7054,true,26269,http://ec2.insiderpages.com/
8609,true,25007,http://ec2.insiderpages.com/store_finder/find/hotel_indigo
6244,true,93483,http://ec2.insiderpages.com/store_finder
3785,true,15146,http://ec2.insiderpages.com/store_finder/results/hotel_indigo/NewYork/NY
12344,true,15329,http://ec2.insiderpages.com/store_finder/results/marshall_fields/LosAngeles/CA
531,true,32444,http://ec2.insiderpages.com/store_finder/find/rent_a_wreck
9307,true,24076,http://ec2.insiderpages.com/store_finder/results/toys_r_us/Seattle/WA
1141,true,23053,http://ec2.insiderpages.com/b/15251613319/hotel-indigo-rahway
605,true,26268,http://ec2.insiderpages.com/
90,true,24263,http://ec2.insiderpages.com/b/15243455995/marshall-robert-f--greenberg-glusker-fields-los-angeles
685,true,18212,http://ec2.insiderpages.com/store_finder/results/rent_a_wreck/Boston/MA
803,true,31270,http://ec2.insiderpages.com/b/3723251644/toys-r-us-bellevue
490,true,26268,http://ec2.insiderpages.com/
337,true,93482,http://ec2.insiderpages.com/store_finder
590,true,26268,http://ec2.insiderpages.com/
819,true,23255,http://ec2.insiderpages.com/b/3720946902/rentawreck-providence
203,true,33170,http://ec2.insiderpages.com/store_finder/find/american_family_insurance
774,true,26268,http://ec2.insiderpages.com/
